"displacement:0","displacement:1","displacement:2","displacement loads:0","displacement loads:1","displacement loads:2","displacement_magnitude","displacement_vector_derived:0","displacement_vector_derived:1","displacement_vector_derived:2","engineering_shear_strain_xy_derived","max_principal_strain_derived","strain_plane_derived:0","strain_plane_derived:1","strain_plane_derived:2","strain_xx_derived","strain_yy_derived","stress_plane_derived_pa:0","stress_plane_derived_pa:1","stress_plane_derived_pa:2","stress_xx","stress_xx_derived_pa","stress_xy","stress_xy_derived_pa","stress_xz","stress_yy","stress_yy_derived_pa","stress_yz","stress_zz","von_mises_derived_pa","vonmises","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2922e-05,-0.00020544,0,4.3891e-09,2.9964e-08,0,0.00022556,9.2922e-05,-0.00020544,0,-7.1217e-05,3.478e-05,-3.1397e-07,-1.8451e-06,-7.1217e-05,-3.1397e-07,-1.8451e-06,-2.0019e+05,-4.4753e+05,-5.7521e+06,-1.7072e+05,-2.0019e+05,-5.8116e+06,-5.7521e+06,0,-4.4357e+05,-4.4753e+05,0,0,1.0065e+07,1.0168e+07,1,1,0.11,0.11,0.05,0
9.2924e-05,-0.00021498,0,4.1384e-09,1.8755e-08,0,0.0002343,9.2924e-05,-0.00021498,0,-7.0173e-05,3.4361e-05,-1.8353e-07,-1.8111e-06,-7.0173e-05,-1.8353e-07,-1.8111e-06,-1.6774e+05,-4.3066e+05,-5.6678e+06,-1.3608e+05,-1.6774e+05,-5.7211e+06,-5.6678e+06,0,-4.2679e+05,-4.3066e+05,0,0,9.9254e+06,1.0019e+07,1,1,0.115,0.115,0.05,0
9.292e-05,-0.0002245,0,9.1221e-09,6.6999e-09,0,0.00024304,9.292e-05,-0.0002245,0,-6.9131e-05,3.392e-05,-1.1953e-07,-1.7778e-06,-6.9131e-05,-1.1953e-07,-1.7778e-06,-1.5067e+05,-4.1855e+05,-5.5836e+06,-1.1809e+05,-1.5067e+05,-5.6305e+06,-5.5836e+06,0,-4.1671e+05,-4.1855e+05,0,0,9.791e+06,9.8736e+06,1,1,0.12,0.12,0.05,0
9.2924e-05,-0.00023393,0,1.2569e-08,-1.1745e-08,0,0.00025179,9.2924e-05,-0.00023393,0,-6.8245e-05,3.3548e-05,3.9751e-08,-1.8074e-06,-6.8245e-05,3.9751e-08,-1.8074e-06,-1.1596e+05,-4.1435e+05,-5.5121e+06,-90185,-1.1596e+05,-5.5585e+06,-5.5121e+06,0,-4.1326e+05,-4.1435e+05,0,0,9.6685e+06,9.7499e+06,1,1,0.125,0.125,0.05,0
9.292e-05,-0.00024334,0,1.2733e-08,-2.4805e-08,0,0.00026053,9.292e-05,-0.00024334,0,-6.7374e-05,3.3168e-05,1.4235e-07,-1.8282e-06,-6.7374e-05,1.4235e-07,-1.8282e-06,-93719,-4.1204e+05,-5.4418e+06,-70384,-93719,-5.4892e+06,-5.4418e+06,0,-4.1262e+05,-4.1204e+05,0,0,9.5517e+06,9.6329e+06,1,1,0.13,0.13,0.05,0
9.2927e-05,-0.00025265,0,1.0757e-08,-3.264e-08,0,0.00026926,9.2927e-05,-0.00025265,0,-6.6528e-05,3.2769e-05,1.1481e-07,-1.8382e-06,-6.6528e-05,1.1481e-07,-1.8382e-06,-1.0077e+05,-4.1626e+05,-5.3734e+06,-63669,-1.0077e+05,-5.423e+06,-5.3734e+06,0,-4.0776e+05,-4.1626e+05,0,0,9.4494e+06,9.5336e+06,1,1,0.135,0.135,0.05,0
9.2926e-05,-0.00026193,0,9.6959e-09,-4.4822e-08,0,0.00027798,9.2926e-05,-0.00026193,0,-6.566e-05,3.2355e-05,5.3185e-08,-1.836e-06,-6.566e-05,5.3185e-08,-1.836e-06,-1.1483e+05,-4.2001e+05,-5.3033e+06,-68853,-1.1483e+05,-5.3534e+06,-5.3033e+06,0,-4.0057e+05,-4.2001e+05,0,0,9.347e+06,9.4331e+06,1,1,0.14,0.14,0.05,0
9.293e-05,-0.0002711,0,-1.3268e-08,-5.0416e-09,0,0.00028665,9.293e-05,-0.0002711,0,-6.4706e-05,3.1888e-05,6.5314e-09,-1.8674e-06,-6.4706e-05,6.5314e-09,-1.8674e-06,-1.2778e+05,-4.3049e+05,-5.2262e+06,-73044,-1.2778e+05,-5.2738e+06,-5.2262e+06,0,-4.2295e+05,-4.3049e+05,0,0,9.2321e+06,9.3172e+06,1,1,0.145,0.145,0.05,0
9.2925e-05,-0.00028025,0,-3.574e-08,4.0762e-08,0,0.0002953,9.2925e-05,-0.00028025,0,-6.3744e-05,3.1411e-05,-9.3776e-08,-1.8864e-06,-6.3744e-05,-9.3776e-08,-1.8864e-06,-1.5224e+05,-4.4182e+05,-5.1485e+06,-86701,-1.5224e+05,-5.1922e+06,-5.1485e+06,0,-4.4756e+05,-4.4182e+05,0,0,9.1219e+06,9.202e+06,1,1,0.15,0.15,0.05,0
9.2932e-05,-0.00028928,0,-2.0436e-08,2.0549e-08,0,0.00030389,9.2932e-05,-0.00028928,0,-6.2865e-05,3.1103e-05,2.4954e-07,-1.9831e-06,-6.2865e-05,2.4954e-07,-1.9831e-06,-79706,-4.4036e+05,-5.0775e+06,-8550.2,-79706,-5.1181e+06,-5.0775e+06,0,-4.3805e+05,-4.4036e+05,0,0,9.0001e+06,9.0749e+06,1,1,0.155,0.155,0.05,0
