"a im","a re","b im:0","b im:1","b im:2","b re:0","b re:1","b re:2","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.0052598,0,0,0,-1.9503e-05,1.1444,0,2,1,0.0146,0.0046,0,0
0,-0.0053742,0,0,0,-1.922e-05,1.1444,0,2,1,0.0147,0.0047,0,0
0,-0.0054886,0,0,0,-1.8937e-05,1.1445,0,2,1,0.0148,0.0048,0,0
0,-0.005603,0,0,0,-1.8638e-05,1.1445,0,2,1,0.0149,0.0049,0,0
0,-0.0057175,0,0,0,-1.8303e-05,1.1446,0,2,1,0.015,0.005,0,0
0,-0.005832,0,0,0,-1.7968e-05,1.1446,0,2,1,0.0151,0.0051,0,0
0,-0.0059465,0,0,0,-1.7633e-05,1.1447,0,2,1,0.0152,0.0052,0,0
0,-0.006061,0,0,0,-1.7298e-05,1.1447,0,2,1,0.0153,0.0053,0,0
0,-0.0061755,0,0,0,-1.6963e-05,1.1448,0,2,1,0.0154,0.0054,0,0
0,-0.00629,0,0,0,-1.6628e-05,1.1448,0,2,1,0.0155,0.0055,0,0
0,-0.0064045,0,0,0,-1.6293e-05,1.1449,0,2,1,0.0156,0.0056,0,0
0,-0.006519,0,0,0,-1.5957e-05,1.1449,0,2,1,0.0157,0.0057,0,0
0,-0.0066335,0,0,0,-1.5622e-05,1.145,0,2,1,0.0158,0.0058,0,0
0,-0.006748,0,0,0,-1.5287e-05,1.145,0,2,1,0.0159,0.0059,0,0
0,-0.0068625,0,0,0,-1.4952e-05,1.1451,0,2,1,0.016,0.006,0,0
0,-0.006977,0,0,0,-1.4617e-05,1.1451,0,2,1,0.0161,0.0061,0,0
0,-0.0070915,0,0,0,-1.4273e-05,1.1452,0,2,1,0.0162,0.0062,0,0
0,-0.007206,0,0,0,-1.3919e-05,1.1452,0,2,1,0.0163,0.0063,0,0
0,-0.0073206,0,0,0,-1.3565e-05,1.1453,0,2,1,0.0164,0.0064,0,0
0,-0.0074351,0,0,0,-1.321e-05,1.1453,0,2,1,0.0165,0.0065,0,0
0,-0.0075497,0,0,0,-1.2856e-05,1.1454,0,2,1,0.0166,0.0066,0,0
0,-0.0076642,0,0,0,-1.2502e-05,1.1454,0,2,1,0.0167,0.0067,0,0
0,-0.0077787,0,0,0,-1.2148e-05,1.1455,0,2,1,0.0168,0.0068,0,0
0,-0.0078933,0,0,0,-1.1794e-05,1.1455,0,2,1,0.0169,0.0069,0,0
0,-0.0080078,0,0,0,-1.1439e-05,1.1456,0,2,1,0.017,0.007,0,0
0,-0.0081224,0,0,0,-1.1085e-05,1.1456,0,2,1,0.0171,0.0071,0,0
0,-0.0082369,0,0,0,-1.0731e-05,1.1457,0,2,1,0.0172,0.0072,0,0
0,-0.0083514,0,0,0,-1.0377e-05,1.1457,0,2,1,0.0173,0.0073,0,0
0,-0.008466,0,0,0,-1.0023e-05,1.1458,0,2,1,0.0174,0.0074,0,0
0,-0.0085806,0,0,0,-9.6522e-06,1.1458,0,2,1,0.0175,0.0075,0,0
0,-0.0086952,0,0,0,-9.2731e-06,1.1459,0,2,1,0.0176,0.0076,0,0
0,-0.0088098,0,0,0,-8.894e-06,1.1459,0,2,1,0.0177,0.0077,0,0
0,-0.0089244,0,0,0,-8.515e-06,1.1459,0,2,1,0.0178,0.0078,0,0
0,-0.009039,0,0,0,-8.1359e-06,1.146,0,2,1,0.0179,0.0079,0,0
0,-0.0091536,0,0,0,-7.7568e-06,1.146,0,2,1,0.018,0.008,0,0
0,-0.0092682,0,0,0,-7.3778e-06,1.146,0,2,1,0.0181,0.0081,0,0
0,-0.0093828,0,0,0,-6.9987e-06,1.1461,0,2,1,0.0182,0.0082,0,0
0,-0.0094975,0,0,0,-6.6196e-06,1.1461,0,2,1,0.0183,0.0083,0,0
0,-0.0096121,0,0,0,-6.2405e-06,1.1462,0,2,1,0.0184,0.0084,0,0
0,-0.0097267,0,0,0,-5.8615e-06,1.1462,0,2,1,0.0185,0.0085,0,0
0,-0.0098413,0,0,0,-5.4824e-06,1.1462,0,2,1,0.0186,0.0086,0,0
0,-0.0099559,0,0,0,-5.1033e-06,1.1463,0,2,1,0.0187,0.0087,0,0
0,-0.010071,0,0,0,-4.7187e-06,1.1463,0,2,1,0.0188,0.0088,0,0
0,-0.010185,0,0,0,-4.3328e-06,1.1463,0,2,1,0.0189,0.0089,0,0
0,-0.0103,0,0,0,-3.947e-06,1.1463,0,2,1,0.019,0.009,0,0
0,-0.010414,0,0,0,-3.5612e-06,1.1464,0,2,1,0.0191,0.0091,0,0
0,-0.010529,0,0,0,-3.1753e-06,1.1464,0,2,1,0.0192,0.0092,0,0
0,-0.010644,0,0,0,-2.7895e-06,1.1464,0,2,1,0.0193,0.0093,0,0
0,-0.010758,0,0,0,-2.4037e-06,1.1464,0,2,1,0.0194,0.0094,0,0
0,-0.010873,0,0,0,-2.0179e-06,1.1464,0,2,1,0.0195,0.0095,0,0
0,-0.010988,0,0,0,-1.632e-06,1.1464,0,2,1,0.0196,0.0096,0,0
0,-0.011102,0,0,0,-1.2462e-06,1.1465,0,2,1,0.0197,0.0097,0,0
0,-0.011217,0,0,0,-8.6038e-07,1.1465,0,2,1,0.0198,0.0098,0,0
0,-0.011332,0,0,0,-4.7455e-07,1.1465,0,2,1,0.0199,0.0099,0,0
0,-0.011446,0,0,0,-8.8721e-08,1.1465,0,2,1,0.02,0.01,0,0
